0.230,273,397,5 s
0.075,457,899,3 s
0.086,066,270,5 s
0.108,753,880,0 s
0.063,881,146,8 s
0.058,941,944,2 s
0.094,009,376,0 s
0.050,066,745,2 s
0.106,702,347,8 s
0.160,018,832,7 s
0.160,524,857,0 s
0.173,674,935,9 s
0.074,634,411,5 s
0.095,906,942,7 s
0.042,530,097,8 s
0.256,151,555,5 s
0.104,594,468,2 s
0.105,840,993,2 s
0.058,022,893,9 s
0.074,825,101,0 s
0.051,243,320,8 s
0.044,878,673,3 s
0.106,781,629,6 s
0.052,190,387,9 s
0.067,794,621,3 s
0.126,264,513,4 s
0.114,174,852,2 s
0.092,383,308,4 s
0.104,743,443,9 s
0.065,814,530,8 s
0.097,532,160,7 s
0.046,966,770,8 s
0.219,776,796,5 s
0.030,323,963,9 s
0.074,529,366,5 s
0.223,293,170,3 s
0.121,550,397,7 s
0.039,578,859,3 s
0.073,644,442,1 s
0.154,690,344,5 s
0.056,666,523,0 s
0.073,115,155,8 s
0.084,802,126,6 s
0.166,903,702,0 s
0.046,898,029,2 s
0.270,447,339,2 s
0.213,005,672,5 s
0.069,463,651,3 s
0.253,069,096,5 s
0.086,475,866,5 s
0.072,348,484,0 s
0.153,099,274,9 s
0.061,645,568,3 s
0.089,890,939,7 s
0.055,963,048,8 s
0.129,128,689,0 s
0.058,018,233,0 s
0.048,234,044,8 s
0.069,596,021,3 s
0.068,810,439,2 s
0.052,362,033,4 s
0.134,601,217,8 s
0.121,753,164,7 s
0.145,635,058,6 s
0.243,190,745,7 s
0.038,826,056,6 s
0.155,463,439,5 s
0.160,289,364,5 s
0.044,844,524,7 s
0.063,232,720,2 s
0.053,613,083,3 s
0.069,063,899,3 s
0.128,033,341,8 s
0.116,949,949,8 s
0.143,667,826,6 s
0.079,306,133,2 s
0.211,127,092,8 s
0.032,281,741,7 s
0.190,900,861,2 s
0.064,337,053,0 s
0.131,342,532,0 s
0.103,705,817,5 s
0.081,495,806,5 s
0.032,752,799,9 s
0.082,567,022,5 s
0.087,596,851,7 s
0.157,574,557,2 s
0.206,155,855,0 s
0.029,849,700,2 s
0.271,920,816,5 s
0.142,663,447,5 s
0.065,758,764,1 s
0.067,988,759,7 s
0.081,073,317,5 s
0.096,096,191,5 s
0.263,976,950,7 s
0.186,533,727,5 s
0.143,517,737,5 s
0.069,888,606,2 s
0.108,665,310,7 s
0.122,017,593,3 s
0.243,705,003,2 s
0.128,737,598,7 s
0.212,882,117,5 s
0.070,783,240,5 s
0.133,967,029,7 s
0.062,824,691,7 s
0.101,495,848,5 s
0.057,209,441,7 s
0.081,019,460,5 s
0.060,537,533,8 s
0.155,335,161,2 s
0.104,291,127,7 s
0.120,810,148,5 s
0.134,136,861,2 s
0.209,887,299,5 s
0.104,289,923,6 s
0.073,275,631,7 s
0.241,400,609,5 s
0.209,200,130,2 s
0.153,310,739,2 s
0.065,446,376,7 s
0.088,587,335,5 s
0.126,677,020,8 s
0.061,596,134,9 s
0.051,394,700,9 s
0.047,327,249,0 s
0.085,612,310,9 s
0.083,731,151,0 s
0.146,827,639,3 s
0.110,863,329,0 s
0.060,886,871,9 s
0.030,745,852,5 s
0.040,124,414,2 s
0.060,896,458,3 s
0.035,766,231,4 s
0.029,669,000,0 s
0.041,242,053,5 s
0.177,983,454,5 s
0.034,350,554,3 s
0.086,977,523,3 s
0.140,903,033,3 s
0.098,492,831,0 s
0.041,295,890,5 s
0.118,300,807,3 s
0.072,437,857,0 s
0.169,322,991,2 s
0.051,447,188,9 s
0.103,238,338,0 s
0.046,587,835,5 s
0.045,020,367,3 s
0.230,370,575,5 s
0.093,262,231,8 s
0.059,526,533,3 s
0.060,201,426,3 s
0.116,049,847,0 s
0.195,305,488,5 s
0.055,160,992,8 s
0.071,239,466,8 s
0.079,221,032,0 s
0.134,805,442,5 s
0.093,807,749,8 s
0.104,294,557,0 s
0.193,517,004,5 s
0.136,299,216,8 s
0.133,976,693,0 s
0.066,052,826,2 s
0.095,507,508,5 s
0.092,120,065,2 s
0.074,340,513,6 s
0.111,951,004,8 s
0.043,515,890,5 s
0.074,187,339,8 s
0.057,809,517,2 s
0.042,108,235,5 s
0.029,641,320,1 s
0.030,237,930,9 s
0.073,575,641,0 s
0.074,591,880,9 s
0.064,543,414,5 s
0.168,858,668,3 s
0.029,306,011,5 s
0.098,066,908,5 s
0.261,160,969,2 s
0.172,700,127,0 s
0.093,639,958,2 s
0.077,333,463,2 s
0.147,683,004,8 s
0.086,761,403,3 s
0.104,187,028,7 s
0.110,354,323,5 s
0.050,380,564,4 s
0.104,748,536,4 s
0.031,383,254,2 s
0.064,436,390,2 s
0.120,333,786,7 s
0.097,460,755,7 s
0.155,218,566,6 s
0.095,520,340,2 s
0.060,081,770,2 s
0.098,967,869,7 s
0.061,041,528,2 s
0.173,820,128,7 s
0.262,730,411,5 s
0.062,621,967,0 s
0.095,774,252,3 s
0.053,270,195,9 s
0.041,628,442,7 s
0.080,391,139,5 s
0.302,143,006,5 s
0.065,729,418,5 s
0.039,949,305,6 s
0.222,195,212,5 s
0.209,179,148,5 s
0.274,722,591,2 s
0.112,588,299,7 s
0.055,050,587,0 s
0.151,078,314,0 s
0.072,032,872,2 s
0.156,030,323,0 s
